        A 马克思主义、列宁主义、毛泽东思想、邓小平理论
                        [P642.3] 土力学及岩石力学
                        P642.4 区域工程地质
                        [P642.5] 环境工程地质
                [P65] 地震地质学
                [P66] 环境地质学
                [P67] 海洋地质学
                P68 宇宙地质学
                {P69} 环境地质学
                P691 行星地质学
                P694 灾害地质学
            P7 海洋学
                P71 海洋调查与观测
                    P711 组织与布局
                    P712 调查、观测规范
                    P714 调查及观测方法
                        P714+.1 海洋水文
                        P714+.2 海洋气象
                        P714+.3 海洋物理
                        P714+.4 海洋化学
                        P714+.5 海洋生物
                        P714+.6 海洋地质
                        P714+.7 海洋地貌
                        P714+.8 海洋地球物理
                    P715 调查与观测技术设备
                        P715.1 固定设备
                        P715.2 浮标装置
                        P715.3 调查船
                        P715.4 水上观测技术设备
                            P715.4+1 海洋调查平台
                            P715.4+2 水上观测塔
                            P715.4+3 观测台站
                        P715.5 水下观测技术设备
                            P715.5+1 水下试验室
                            P715.5+2 水下电视
                            P715.5+3 水下摄影机
                        P715.6 航空与卫星观测技术设备
                        P715.7 遥测技术设备
                        P715.9 其他观测技术设备
                    P716 调查与观测仪表
                        P716+.1 水文观测仪器
                            P716+.11 水深测量仪器
                            P716+.12 水温观测仪器
                            P716+.13 海水密度测量仪器
                            P716+.14 海水盐度观测仪器
                            P716+.15 海水观测仪器
                            P716+.16 水文综合要素观测仪器
                            P716+.19 其他水文要素观测仪器
                        P716+.2 海洋动力学观测仪器
                            P716+.21 海流观测仪器
                            P716+.22 海浪观测仪器
                            P716+.23 验潮仪
                        P716+.3 海洋气象观测仪器
                        P716+.4 海洋物理测量仪器
                            [P716+.41] 水声测量仪器
                            P716+.42 海洋光学测量仪器
                            P716+.43 海水热力学性质测量仪器
                        P716+.5 海洋化学分析仪器
                        P716+.6 海洋生物观测仪器
                        P716+.7 海洋地质地貌观测仪器
                        P716+.8 海洋地球物理观测仪器
                            P716+.81 重力仪
                            P716+.82 磁力仪
                            P716+.83 地震仪
                        P716+.9 其他海洋调查观测仪器
                    P717 调查与观测资料
                P72 区域海洋学
                    P721 太平洋
                    P722 北太平洋
                        P722.1 白令海
                        P722.2 鄂霍次克海
                        P722.3 日本海
                        P722.4 渤海
                        P722.5 黄海
                        P722.6 东海
                        P722.7 南海
                        P722.8 加利福尼亚湾
                        P722.9 阿拉斯加湾
                    P723 南太平洋
                        P723.1 苏禄海
                        P723.2 苏拉威西海
                        P723.3 爪哇海
                        P723.4 班达海
                        P723.5 阿拉弗拉海
                        P723.6 珊瑚海
                        P723.7 塔斯曼海
                        P723.8 菲吉海
                        P723.9 热带太平洋
                    P724 印度洋
                        P724.1 孟加拉海
                        P724.2 安达曼海
                        P724.3 阿拉伯海
                        P724.7 红海
                        P724.8 热带印度洋
                    P725 大西洋
                        P725.1 北大西洋
                            P725.2 北海
                            P725.3 波罗的海
                            P725.4 挪威海
                            P725.5 哈得孙湾
                        P725.6 西大西洋
                            P725.7 墨西哥湾
                            P725.8 加勒比海
                        P725.9 南大西洋（几内亚湾）
                        P725.99 热带大西洋
                    P726 地中海
                        P726.1 利古里亚海
                        P726.2 第勒尼安海
                        P726.3 爱奥尼亚海
                        P726.4 亚得里亚海
                        P726.5 爱琴海
                        P726.6 累旺特海
                        P726.7 黑海
                    P727 北冰洋
                        P727.1 格陵兰海
                        P727.2 巴伦支海
                        P727.3 白海
                        P727.4 喀拉海
                        P727.5 巴芬湾
                    P728 南大洋及南极
                        P728.1 南大洋
                            P728.11 威德尔海
                            P728.12 罗斯海
                            P728.13 德雷克海峡
                        P728.2 南极
                P73 海洋基础科学
                    P731 海洋水文学
                        P731.1 海洋水文要素
                            P731.11 温度
                            P731.12 盐度
                            P731.13 密度
                            P731.14 水色透明度
                            P731.15 海冰
                            P731.16 水团
                        P731.2 海洋动力学
                            P731.21 海流
                            P731.22 波浪
                            P731.23 潮汐
                            P731.24 跃层与内波
                            P731.25 海啸
                            P731.26 湍流与混合、水交换、水平衡
                            P731.27 大洋环流
                        P731.3 海洋水文预报
                            P731.31 水温预报
                            P731.32 冰情预报
                            P731.33 波浪预报
                            P731.34 水位预报
                            P731.35 海流预报
                            P731.36 海啸预报
                    P732 海洋气象学
                        P732.1 海上气象基本要素
                        P732.2 海洋天气
                        P732.3 海洋热带气象
                        P732.4 海洋天气预报
                        P732.5 海洋气候
                        P732.6 海洋与大气的相互关系
                        P732.7 海洋动力气象学
                    P733 海洋物理学
                        P733.1 海水的物理性质
                        P733.2 海洋声学
                            P733.21 声波在海水中的传播
                                P733.21+1 声速、声道
                                P733.21+2 散射和混响
                                P733.21+3 起伏
                                P733.21+4 折射与反射
                                P733.21+5 射线声学
                                P733.21+6 吸收与衰减
                            P733.22 噪声
                            P733.23 海洋声学的应用
                            [P733.24] 水声工程
                        P733.3 海洋光学
                            P733.3+1 海水光学性质
                            P733.3+2 光在水下的传播
                            P733.3+3 水下激光
                        P733.4 海洋热力学
                            P733.4+1 海洋热交换
                            P733.4+3 海洋热平衡
                        P733.6 海洋电磁学
                    P734 海洋化学
                        P734.2 海水化学
                            P734.2+1 海水化学组成
                            P734.2+2 溶解气体
                            P734.2+3 悬浮物质
                                P734.2+31 无机悬浮物
                                P734.2+32 有机悬浮物
                            P734.2+4 放射性元素
                            P734.2+5 区域海洋化学
                        P734.3 海洋物理化学
                            P734.3+1 海水物理化学
                            P734.3+2 海水化学热力学
                            P734.3+3 海水电化学
                            P734.3+5 海洋界面化学与胶体化学
                        P734.4 海洋分析化学
                            P734.4+1 海水化学元素分析
                            P734.4+2 无机化合物分析
                            P734.4+3 有机化合物分析
                            P734.4+4 营养盐分析
                            P734.4+5 溶解气体分析
                        P734.5 海洋有机化学
                    [P735] 海洋生物学
                    P736 海洋地质学
                        P736.1 海洋地质构造
                            P736.11 海洋起源与演化
                            P736.12 海底地质、深海地质
                            P736.14 岛屿、岛弧与海沟
                            P736.15 大陆边缘
                        P736.2 海洋沉积、历史海洋学
                            P736.21 海洋沉积
                                P736.21+1 海底性质
                                P736.21+2 海洋沉积物的来源与搬运作用
                                P736.21+3 海洋沉积物的沉积作用
                            P736.22 历史海洋学、海洋地层学
                                P736.22+1 海洋古生物学
                                P736.22+2 海洋古地理
                                P736.22+3 海洋地层年代测定
                                P736.22+4 各时代地层
                        P736.3 海底矿物与岩石
                        P736.4 海洋地球化学
                            P736.4+1 沉积物化学成分
                            P736.4+2 自然作用地球化学
                            P736.4+3 个别元素地球化学
                            P736.4+4 同位素地球化学
                            P736.4+5 放射性元素地球化学
                        P736.5 区域海洋地质
                    P737 海洋地貌学
                        P737.1 海岸地貌
                            P737.11 海岸分类
                            P737.12 海岸地貌类型
                                P737.12+1 入海河口地貌
                            P737.13 海岸发育营力
                            P737.14 海岸泥沙流
                            P737.15 海岸新构造运动
                            P737.17 区域海岸地貌
                        P737.2 海底地貌
                            P737.22 海底地貌类型
                            P737.23 海底地貌发育营力
                            P737.27 区域海底地貌
                    P738 海洋地球物理学
                        P738.1 地球动力学
                        P738.2 海洋重力场
                        P738.3 海洋磁场
                        P738.4 海底地震
                        P738.5 海底火山
                        P738.6 海底地热
                P74 海洋资源与开发
                    P741 海洋开发基础研究
                    P742 海洋开发技术设备
                    P743 海洋动力资源开发
                        P743.1 海流能
                        P743.2 波浪能
                        P743.3 潮汐能
                        P743.4 海水热能
                    P744 海洋矿产资源及开发
                        P744.2 海底砂矿
                        P744.3 锰结核
                        P744.4 石油和天然气
                    P745 海洋生物资源及开发
                    P746 海水资源开发与综合利用
                        P746.1 海水综合利用
                        P746.2 海水元素的提取
                            P746.2+1 常量元素的提取
                            P746.2+2 微量元素的提取
                        P746.3 海水化合物的提取
                    P747 海水淡化
                        P747+.1 蒸馏法
                            P747+.11 闪急蒸馏法
                            P747+.12 蒸汽压缩蒸馏法
                            P747+.13 多效蒸馏法
                            P747+.14 太阳能蒸馏法
                            P747+.15 核能淡法
                            P747+.19 其他
                        P747+.2 冷冻法
                        P747+.3 电渗析法
                        P747+.4 离子交换法
                        P747+.5 反渗透法
                        P747+.6 渗透法
                        P747+.7 溶剂萃取法
                        P747+.8 生物学法
                        P747+.91 水合物淡化法
                        P747+.92 压渗析法
                        P747+.99 其他淡化法
                    P748 海岸带资源及其开发
                P75 海洋工程
                    P751 深海工程、近海工程
                    P752 海上工程
                    P753 海岸工程
                    P754 海下工程
                        P754.1 能源
                        P754.2 水下照明技术
                        P754.3 潜水技术与装置
                        P754.4 水下遥控设备
                        P754.5 水下工程材料
                        P755.1 焊接技术
                        P755.2 耐压技术
                        P755.3 防腐技术
                        P755.4 建筑涂料
                        P756.1 水下电缆
                        P756.2 水下管道
                        P756.3 水下试验室
                        P756.4 水下打捞
                        P756.5 海底钻探
                        P756.6 海洋电子工程
                        P756.8 海洋空间利用
                    {P755} 水下工艺
                    {P756} 水下工程技术
                [P76] 海洋环境科学
                [P77] 潜水医学
                [P79] 军事海洋学
            P9 自然地理学
                P90 一般理论与方法
                    P901 景观学、区域论
                    P902 自然区划法
                    P903 高山定位法
                    P904 地理考察法
                P91 数理地理学
                [P92] 古地理学
                P93 部门自然地理学
                    P931 地貌学（地形学）
                        P931.1 流水地貌学、湿润地貌学
                        P931.2 构造地貌学
                        P931.3 沙漠地貌学、干燥地貌学
                        P931.4 冰川地貌学、冰缘地貌学
                        P931.5 岩溶（喀斯特）地貌学
                        P931.6 黄土地貌学
                        P931.7 湖泊、沼泽地貌学
                        P931.8 冻土地貌学
                        P931.91 应用地貌学
                        P931.92 实验地貌学
                    [P932] 气候学
                    [P933] 水文地理学
                    [P934] 土壤地理学
                    [P935] 生物地理学
                        [P935.1] 植物地理学
                        [P935.2] 动物地理学
                    [P936] 医学地理学
                P94 区域自然地理学
                    P941 世界自然地理学
                        P941.1 热带、赤道带
                        P941.2 亚热带
                        P941.3 温带
                        P941.4 亚寒带
                        P941.5 寒带
                        P941.6 极地
                            P941.61 南极
                            P941.62 北极
                        P941.7 自然区域
                            P941.71 干燥区
                            [P941.72] 火山
                            P941.73 沙漠区
                            P941.74 黄土地、高原、台地
                            P941.75 盆地、平原、草原
                            P941.76 山脉、丘陵
                            P941.77 河流
                            P941.78 湖泊、沼泽
                        [P941.8] 海洋地理
                    P942 中国自然地理
                    P943/947 各国自然地理
                {P95} 环境地理学
                [P951] 环境地理学
                [P954] 灾害地理学
                P96 自然资源学
                    P962 调查与分析
                    [P963] 规划与管理
                    P964 资源评价
                    P966 资源分布
                        P966.1/.7 地理分布
                        P966.8 地带分布
                        P966.9 地文分布
                    [P967] 资源开发与利用
                    [P968] 各种自然资源的开发与利用
                [P97] 地理探险与发现
                P98 自然地理图
        Q 生物科学
            Q-0 生物科学的理论与方法
                Q-03 定量生物学
                Q-06 生物学说
            Q-1 生物科学现状与发展
            Q-3 生物科学的研究方法与技术
                Q-31 生物科学研究法
                Q-33 生物学实验与生物学技术
                    Q-331 生物学实验与观测
                    Q-332 生物数学方法
                    Q-334 生物图像处理（生物成像）技术
                    Q-335 生物绘图法及摄影法
                    Q-336 生物显微技术
                    Q-337 实验设备及装置
                    Q-338 实验室、实验园地
                Q-34 生物标本的采集和制备
            Q-4 生物科学教育与普及
                Q-45 生产实习
                Q-49 生物学的科学普及读物
            Q-9 生物资源调查
            Q1 普通生物学
                Q1-0 生命科学总论
                Q10 生命的起源
                    Q10+1 生活物质
                    Q10+2 生活力
                    Q10+3 生长与延续
                    Q10+4 生物与非生物的比较
                    Q10+5 植物与动物的异同
                Q11 生物演化与发展
                    Q111 进化论、生物系统发育
                        Q111.1 拉马克学说与研究
                        Q111.2 达尔文学说与研究
                            Q111.2+1 种的形成与物种起源
                            Q111.2+2 人工选择
                            Q111.2+3 自然选择（天然淘汰）
                            Q111.2+4 生存竞争
                            Q111.2+5 性的选择
                        Q111.4 有机界发展的因素和规律
                        Q111.7 绝种问题
                        Q111.9 其他
                    Q112 有机体的个体发育
                Q13 生物形态学
                    Q132 普通胚胎学
                        Q132.1 性细胞的发生、形成与受精
                            Q132.1+1 无性生殖
                            Q132.1+2 有性生殖
                            Q132.1+3 人工繁殖
                            Q132.1+4 世代交替
                        Q132.2 卵裂
                        Q132.3 胚胎的形成
                        Q132.4 胚胎的发育
                            {Q132.4+1} 无性生殖
                            {Q132.4+2} 有性生殖
                            {Q132.4+3} 人工繁殖
                            {Q132.4+4} 世代交替
                        {Q132.5} 化学胚胎学
                        Q132.6 生态胚胎学
                        Q132.7 生物化学胚胎学
                        Q132.8 实验胚胎学
                        Q132.9 进化胚胎学
                    Q133 胚后发育
                    Q136 组织学
                Q14 生态学（生物生态学）
                    Q141 数学生态学与生物模型
                    Q142 生物与非生物环境的关系
                        Q142.2 物候学
                        Q142.3 土壤因素
                        Q142.4 地形因素
                        Q142.6 放射生态学
                        Q142.7 生物的休眠与复苏
                        Q142.8 生物水土适应与习性
                        Q142.9 生态适应
                    Q143 生物与生物环境的关系
                        Q143+.1 生物因素
                        Q143+.2 共生
                        Q143+.3 防御
                        Q143+.4 人类因素
                    Q144 生物的迁徙
                    Q145 生物群落学与种群生态学
                        Q145+.1 种群生态学
                        Q145+.2 群落生态学
                    Q146 生态平衡与生态系统稳定性
                    Q147 系统生态学
                    Q148 生态系统生态学
                    Q149 生态学其他分支学科
                Q15 生物分布与生物地理学
                    Q151 生物的地带分布
                        Q151.1 热带、赤道带
                        Q151.2 亚热带
                        Q151.3 温带
                        Q151.4 亚寒带
                        Q151.5 寒带
                        Q151.6 极地
                    Q151.9 生物的地文分布
                        Q151.91 大陆
                        Q151.92 平原
                        Q151.93 山地、高山
                        Q151.94 沙漠
                        Q151.95 岛屿
                    Q152/157 生物的地区分布
                Q16 保护生物学
                Q17 水生生物学
                    Q171 水生生物演化
                    Q172 水生生物细胞学
                    Q173 水生生物遗传学
                    Q174 水生生物形态学、解剖学和组织学
                    Q175 水生生物生理学
                    Q176 水生生物化学
                    Q177 水生生物物理学
                    Q178 水生生物生态学和地理学
                        Q178.1 水生生物生态学
                            Q178.1+1 水生生物与自然环境
                                Q178.1+11 水中气体
                                Q178.1+12 水中盐类
                            Q178.1+2 生物因素影响
                            Q178.1+3 迁徙
                                Q178.1+31 降河性
                                Q178.1+32 溯河性
                            Q178.1+4 群落生态
                        Q178.2 水生生物分布与水生生物地理学
                            Q178.3 地带分布
                            Q178.4 地区分布
                            Q178.5 水体环境分布
                                Q178.51 淡水生物
                                    Q178.51+1 河川
                                    Q178.51+2 溪流
                                    Q178.51+3 湖泊、水库、沼泽
                                    Q178.51+4 池塘
                                    Q178.51+5 温泉
                                    Q178.51+6 稻田
                                    Q178.51+7 其他
                                Q178.52 半咸水生物
                                Q178.53 海洋生物
                                    Q178.531 海滨
                                    Q178.532 浅海
                                    Q178.533 深海
                                    Q178.534 远洋
                                    Q178.535 海底
                    Q179 水生生物分类学
                        Q179.1 浮游生物
                        Q179.2 游动生物
                        Q179.3 漂浮生物
                        Q179.4 水底生物
                        Q179.5 附着生物
                Q18 寄生生物学
                Q189 神经科学
                Q19 生物分类学
            Q2 细胞生物学
                Q2-0 细胞生物学理论与方法论
                    Q2-06 细胞学说
                    Q2-09 细胞学史
                Q2-3 细胞生物研究方法
                    Q2-33 细胞学实验与细胞学研究方法
                Q21 细胞的形成及演化
                [Q23] 细胞遗传学
                Q24 细胞形态学
                    Q241 细胞膜（质膜）、细胞壁
                    Q242 细胞质（原生质）
                    Q243 细胞核、染色体、染色质
                    Q244 细胞内膜系统
                    Q245 细胞骨架
                    Q246 显微结构
                    Q247 亚显微结构
                    Q248 超显微结构
                    Q249 细胞间的联系与细胞外基质
                Q25 细胞生理学
                    Q251 细胞的新陈代谢
                    Q252 细胞呼吸
                    Q253 细胞生长与细胞分裂
                    Q254 细胞分化
                    Q255 细胞的衰老与死亡
                    Q256 细胞对外界环境的反应
                    Q257 细胞内的信息传递
                Q26 细胞生物化学
                Q27 细胞生物物理学
                    Q271 精细结构
                    Q272 渗透性
                    Q273 兴奋与收缩的作用
                    Q274 物理因素对细胞的作用
                    Q279 癌细胞生物学
                {Q28} 细胞生物学
                [Q291] 细胞分子生物学
            Q3 遗传学
                Q3-0 理论与方法论
                    Q3-01 米丘林遗传学说和研究
                    Q3-02 孟德尔、摩尔根遗传学说和研究
                    Q3-05 遗传学与其他学科的关系
                    Q3-06 其他遗传学说和研究
                Q3-3 研究方法与实验遗传学
                Q31 遗传与变异
                    Q311 遗传
                        Q311+.1 遗传的基本规律
                        Q311+.2 遗传异质性
                        Q311+.3 遗传动摇性
                        Q311+.4 遗传保守性
                        Q311+.5 获得性遗传
                        [Q311+.6] 体细胞遗传
                        Q311+.8 遗传性的人工控制
                    Q319 变异
                        Q319+.1 自然变异
                        Q319+.2 人工变异
                        [Q319+.3] 突变、突变的分子基础
                            [Q319+.31] 突变类型
                            [Q319+.32] 自然突变
                            [Q319+.33] 诱发突变及其作用因素
                            [Q319+.34] 体细胞突变、芽变
                        [Q319+.4] 体细胞变异
                        Q319+.5 定向变异
                Q32 杂交与杂种
                    Q321 有性杂交
                        Q321+.1 受精作用
                        Q321+.2 种间杂交与杂种
                        Q321+.3 远缘杂交与杂种
                        Q321+.4 同系交配与异系交配
                        Q321+.5 蒙导
                        Q321+.6 杂种优势、杂种生活力
                        Q321+.7 近亲交配、近亲繁殖
                        Q321+.8 杂交不育、杂种不育及其克服
                    Q322 无性繁殖
                    Q324 性的影响
                [Q33] 人工选择与自然选择
                Q34 遗传学分支学科
                    [Q341] 分子遗传学
                    [Q341.9] 量子遗传学
                    Q342 生化遗传学
                        Q342+.1 遗传变异的生化理论
                        [Q342+.2] 基因作用的化学基础
                        [Q342+.3] 基因调节和酶合成
                        Q342+.4 免疫遗传
                    Q343 细胞遗传学
                        Q343.1 基因理论
                            [Q343.1+1] 基因生化基础
                            Q343.1+2 基因特性
                            [Q343.1+3] 基因突变
                            Q343.1+4 群体内的基础
                            Q343.1+5 基因与性状的关系
                            [Q343.1+6] 细胞质基因
                            Q343.1+7 基因定位
                        Q343.2 染色体理论（染色体遗传学）
                            Q343.2+1 染色体的发生与形态学
                            Q343.2+2 染色体图
                            Q343.2+3 染色体亚（超）显微结构
                            Q343.2+4 染色体表现、染色体行为
                                Q343.2+41 连锁
                                Q343.2+42 交换
                                Q343.2+43 交叉
                                Q343.2+44 染色体倍性、多体、减体
                                Q343.2+45 物理化学因素作用下染色体的改变
                        Q343.3 细胞质遗传（核外遗传）
                            Q343.3+1 母性遗传
                            Q343.3+2 遗传性状的细胞质传递
                            Q343.3+3 细胞核-细胞质遗传互作
                            Q343.3+4 雄性不育
                            Q343.3+5 细胞器遗传
                            Q343.3+6 内共生体遗传
                            Q343.3+7 质粒遗传
                        {Q343+.4} 非染色体遗传
                        Q343.5 体细胞遗传变异
                        [Q343.6] 细胞人工培养
                    Q344 发生遗传学（发育遗传学）、生理遗传学
                        Q344+.1 个体发育中基因活动过程
                            Q344+.11 基因在RNA合成时的作用
                            Q344+.12 基因突变
                            Q344+.13 基因表达
                            Q344+.14 基因调节机制
                            Q344+.15 核质关系和母体效应
                            Q344+.16 细胞的决定和发育区划
                        Q344+.2 性的决定与控制
                        Q344+.3 微生物发育遗传
                        Q344+.4 植物发育遗传
                        Q344+.5 动物发育遗传
                    Q345 辐射遗传学（放射遗传学）
                        Q345+.1 辐射的遗传伤害与诱变
                        Q345+.2 辐射对细胞及遗传结构的作用
                            Q345+.21 体细胞与生殖细胞
                            Q345+.22 染色体与细胞器
                            Q345+.23 密码复制酶系及翻译系统酶系
                            Q345+.24 核酸
                        Q345+.7 辐射遗传伤害的防护与恢复
                    Q346 生态遗传学
                        Q346+.1 群体及数量调节
                        Q346+.2 选择作用与遗传
                        Q346+.3 生态区域分布与进化
                        Q346+.4 遗传环境与进化
                        Q346+.5 遗传性多态现象
                        Q346+.6 拟态
                        Q346+.7 适应性的遗传基础
                    Q347 群体遗传学
                    Q348 数量遗传学（生物统计遗传学）
                    Q349 进化遗传学
                        Q349+.1 物种进化的遗传基础
                            Q349+.11 物种形成
                            Q349+.13 种系发生
                            Q349+.15 群体形成
                            Q349+.17 性与特征、特性的形成
                            Q349+.18 中性选择
                        Q349+.5 遗传物质的进化
                            Q349+.51 染色体及细胞器
                            Q349+.53 核酸及蛋白
                            Q349+.55 基因与遗传密码
                    Q351 行为遗传学
                    Q352 免疫遗传学
                    Q354 肿瘤遗传学
                    Q355 毒理遗传学（遗传毒理学）
                    Q356 药物遗传学
                [Q36] 微生物遗传学
                [Q37] 植物遗传学
                [Q38] 动物遗传学
                [Q39] 人类遗传学
            Q4 生理学
                Q4-0 生理学理论与方法论
                    [Q4-06] 巴甫洛夫生理学说
                Q4-3 生理学研究方法
                    Q4-33 实验与技术
                Q41 普通生理学
                    [Q411] 新陈代谢
                    [Q412] 呼吸
                    Q413 能量转化与热能的产生
                    Q414 兴奋和抑制
                    Q415 传导、反射与向性
                    [Q416] 适应性
                    Q417 驯化现象
                    Q418 生长、发育与生殖
                    Q419 衰老与死亡
                Q42 神经生理学
                    Q421 神经细胞（神经元）、神经胶质的结构和功能
                    Q422 神经的传导
                    Q423 神经的兴奋与抑制
                    Q424 电生理学
                    Q425 植物性神经系统的生理
                    Q426 中枢神经系统的生理
                    Q427 高级神经活动
                    Q428 睡眠与觉醒
                    Q429 末梢神经系统的生理
                        Q429+.1 嗅神经
                        Q429+.2 视神经
                        Q429+.3 动眼神经
                        Q429+.4 滑车神经
                        Q429+.5 外展神经
                        Q429+.6 三叉神经
                        Q429+.7 面神经
                        Q429+.8 听神经
                        Q429+.91 舌咽神经
                        Q429+.92 迷走神经
                        Q429+.93 副神经
                        Q429+.94 舌下神经
                Q43 分析器生理学（感官生理学）
                    Q432 皮肤感受器（外感受器）
                    Q434 化学感受器
                    Q436 光感受器（视觉）
                    Q437 音感受器（听觉）
                    Q438 内感受器
                    Q439 其他感受器
                Q44 运动器官生理学
                    Q441 骨关节、韧带生理
                    Q445 肌肉生理学
                Q45 内分泌生理学
                    Q451 甲状腺
                    Q452 甲状旁腺
                    Q453 垂体
                    Q454 肾上腺
                    Q455 胰岛
                    Q456 胸腺
                    Q457 松果体
                    Q459 其他
                Q46 循环生理学
                    Q461 血液
                    Q462 造血机能
                    Q463 血液循环
                    Q464 淋巴及其循环
                    Q469 其他体液生理
                Q47 呼吸生理学
                    Q471 肺呼吸
                    Q472 气体的交换与运输
                    Q473 呼吸的调节
                    Q474 组织与细胞的呼吸
                    Q475 皮肤的呼吸
                    Q476 动物腮的呼吸
                    Q477 发声器官的生理
                    Q479 特殊气压下的呼吸
                Q48 消化生理学
                    Q481 口腔内的消化
                    Q482 胃内的消化
                    Q483 小肠内的消化
                    Q484 大肠内的消化和排粪
                    Q485 肝脏的生理
                    Q486 胆道系统
                    Q487 胰腺
                    Q488 腹膜
                    Q489 吸收
                Q491 排泄生理学
                    Q491.1 尿的生成和排泄
                    Q491.5 皮肤的生理
                Q492 生殖生理学
                    Q492.2 动物的无性生殖
                    Q492.3 动物的单性生殖
                    Q492.4 雄性生殖器官的生理
                    Q492.5 雌性生殖器官的生理
                    Q492.6 受精、妊娠
                    Q492.7 乳腺的机能、授乳
                    [Q492.9] 年龄生理学
                Q493 新陈代谢与营养
                    Q493.1 总代谢
                    Q493.2 蛋白质代谢
                    Q493.3 核酸代谢
                    Q493.4 糖代谢
                    Q493.5 脂肪代谢
                    Q493.6 维生素代谢
                    Q493.7 水与矿物质的代谢
                    Q493.8 能量代谢
                    Q493.9 代谢调节
                    Q493.99 营养生理学
                Q494 特殊环境生理学、生态生理学
                Q495 比较生理学与进化生理学
            Q5 生物化学
                Q5-3 生物化学研究法
                    Q5-33 生物化学实验
                Q50 一般性问题
                    Q501 生物的化学成分和结构
                    Q502 生物的物理化学性质
                    Q503 生物化学技术
                    Q504 生化效应
                    Q505 生物氧化
                    Q506 放射生物化学
                    Q507 生化调节
                Q51 蛋白质
                    Q511 抗体蛋白与干扰素蛋白
                    Q512 单纯蛋白
                        Q512+.1 白蛋白（清蛋白）
                        Q512+.2 球蛋白
                        {Q512+.3} 珠蛋白
                        Q512+.4 谷蛋白
                        Q512+.5 醇溶蛋白
                        Q512+.6 硬蛋白
                        Q512+.7 组蛋白
                        Q512+.8 精蛋白
                    Q513 结合蛋白质
                    {Q514} 衍生蛋白质
                    Q516 蛋白质的一级结构
                    Q517 氨基酸
                    Q518.1 蛋白质的二级结构
                    Q518.2 蛋白质的三级结构
                    Q518.3 蛋白质的四级结构
                    Q518.4 蛋白质的变性与变构
                    [Q519] 蛋白质的代谢
                Q52 核酸
                    Q522 核糖（醣）核酸（RNA）
                        Q522+.1 转移核糖核酸（tRNA）
                        Q522+.2 信使核糖核酸（mRNA）
                        Q522+.3 核蛋白体核糖核酸（rRNA）
                        Q522+.4 病毒和噬菌体核糖核酸
                        Q522+.5 高分子核糖核酸
                        Q522+.6 核糖核酸（RNA）的序列分析
                    Q523 脱氧核糖核酸（DNA）
                        Q523+.1 脱氧核糖核酸（DNA）的一级结构
                        Q523+.2 转化元素脱氧核糖核酸
                        Q523+.3 病毒和噬菌体脱氧核糖核酸
                        Q523+.4 脱氧核糖核酸（DNA）的二级结构
                        Q523+.5 脱氧核糖核酸（DNA）的三级结构
                        Q523+.6 脱氧核糖核酸（DNA）的重复序列
                        Q523+.7 脱氧核糖核酸（DNA）的回文结构
                        Q523+.8 脱氧核糖核酸（DNA）的序列分析
                    Q524 核苷酸
                        {Q524+.1} 具有鲜味的核苷酸
                        Q524+.2 核菌酸-肽
                        Q524+.3 单核苷酸及核苷多磷酸
                        Q524+.4 多聚核苷酸
                        Q524+.5 环化核苷酸
                        Q524+.6 核苷酸衍生物
                    Q525 核苷
                    Q526 核酸碱基
                        Q526+.1 嘧啶碱
                        Q526+.2 嘌呤碱
                    Q527 核酸的生物学功能
                        [Q527+.1] 核酸和蛋白质生物合成的关系
                        [Q527+.2] 核糖核蛋白体
                        [Q527+.3] 核酸和遗传的关系
                        Q527+.4 核酸和射线作用的关系
                        Q527+.5 核酸和病毒致病的关系
                    [Q528] 核酸的新陈代谢
                        [Q528+.1] 核酸的分解代谢
                        [Q528+.2] 核酸的生物合成
                Q53 糖（醣）
                    Q532 单糖
                        Q532+.1 丁糖
                        Q532+.2 戊糖
                        Q532+.3 己糖
                        Q532+.4 庚糖
                        Q532+.5 单糖转化衍生物
                        Q532+.9 其他
                    Q533 二糖
                        Q533+.1 蔗糖
                        Q533+.2 麦芽糖（饴糖）
                        Q533+.3 乳糖
                        Q533+.4 纤维糖
                    Q534 三糖
                        Q534+.5 棉籽糖
                    Q535 四糖
                    Q538 结合糖
                    Q539 其他多糖
                        Q539+.1 淀粉
                        Q539+.2 糖元（动物淀粉）
                        Q539+.3 纤维素
                        Q539+.4 戊聚糖
                        Q539+.5 半纤维糖
                        Q539+.6 树胶
                        [Q539+.7] 粘多糖
                        Q539+.8 果胶
                        Q539+.9 琼脂
                Q54 脂类
                    Q541 萜类
                    Q542 中性脂（真脂）
                    Q543 脂性油
                    Q544 蜡
                    Q545 磷脂
                        Q545+.1 磷酸甘油脂
                        Q545+.2 脑磷脂
                        Q545+.3 神经磷脂
                        Q545+.4 心磷脂
                    Q546 糖脂（脑苷脂）
                    Q547 脂肪酸
                    Q548 类固醇（甾醇类）
                        Q548+.1 动物甾醇
                        Q548+.2 类固醇激素
                        [Q548+.3] 麦角固醇
                        [Q548+.4] 谷固醇
                        Q548+.5 胆汁酸和胆汁醇
                    Q549 固醇脂
                Q55 酶
                    Q552 辅酶
                    Q553 抗酶
                    Q554 氧化还原酶
                        Q554+.1 氧化羟基的酶
                        Q554+.2 氧化醛或酮基的酶
                        Q554+.3 氧化乙撑基CH-CH的酶
                        Q554+.4 氧化氨基和亚氨基的酶
                        Q554+.5 氧化还原型烟酰胺核苷酸的酶
